"product","sales","share_sales","cumulative_sales","sales_category","transaction_frequency","share_frequency","cumulative_share","product_category","cumsalessharecumtransactionshare","productfreqqu"
"remy martin vsop flask","4062147.180000166","0.25351039746139364","55.337950887982366","A","14687","0.13968268339878868800","55.91222864020947742800","X","3094.0681625295533","AX"
"templeton 4yr rye","3980873.8800001964","0.2484382950305825","55.58638918301295","A","18623","0.17711653931610551700","50.49692112241460544900","X","2806.941510054445","AX"
"e & j vs","3924553.4399999613","0.2449234501721893","55.831312633185135","A","48585","0.46207415897937961400","29.68293638165642149600","X","1657.2373009952048","AX"
"paul masson grande amber brandy vs","3911762.8999999976","0.24412521841557025","56.075437851600704","A","42251","0.40183380242951050900","33.94481321399896866900","X","1903.4702637657936","AX"
"windsor canadian pet","3763409.500000028","0.23486678248692922","56.310304634087636","A","28454","0.27061558340226958000","41.72441682218138567700","X","2349.5146219366843","AX"
"nikolai vodka","3618278.26000032","0.2258094350531542","56.53611406914079","A","26420","0.25127095359133908400","43.01204255514218113200","X","2431.7337442442563","AX"
"grey goose vodka","3615520.7099998733","0.2256373419295779","56.761751411070364","A","14144","0.13451840906873202100","56.73122738727853775700","X","3220.1638262016113","AX"
"bacardi superior pet","3450910.1699999743","0.21536433074298977","56.97711574181336","A","15120","0.14380078797505855200","54.91821520396601052000","X","3129.0815040101857","AX"
"dr mcgillicuddys mentholmint","3438795.929999792","0.21460830550281404","57.19172404731617","A","17499","0.16642658655922947100","51.84674640255508892700","X","2965.204813006113","AX"
"ten high","3376592.2199997874","0.21072629765156878","57.40245034496774","A","37026","0.35214073912463743100","36.18517623109927903900","X","2077.1177818295832","AX"
"mccormick vodka pet","3351524.0600004317","0.20916184443915162","57.61161218940689","A","40308","0.38335464032398545800","34.71467051454242532400","X","1999.9681349668565","AX"
"remy martin 1738 accord royal","3331139.8299999847","0.20788970583353922","57.81950189524043","A","13846","0.13168424009938232200","57.52727697420316579000","X","3326.1985000379614","AX"
"fireball cinnamon","3318918.300000156","0.20712698484127745","58.0266288800817","A","20845","0.19824916834259891000","47.88921937285737302000","X","2778.849959905614","AX"
"tortilla gold dss","3277456.18000002","0.20453941771112097","58.23116829779282","A","2908","0.02765692403647290100","83.52248399502936217200","Y","4863.611822164262","AY"
"dusse vsop","3229896.5100000678","0.20157131480628723","58.43273961259911","A","13506","0.12845062449676857200","58.17635873198899886400","X","3399.4040213954695","AX"
"captain morgan original spiced pet","3198171.5500000296","0.19959142415666872","58.63233103675577","A","21890","0.20818778100357352600","46.68090281786774246400","X","2737.0101471118464","AX"
"wild turkey 101","3150391.8999999617","0.19660959274452305","58.828940629500295","A","20671","0.19659431800479069700","48.28340662545011454200","X","2840.4616617586257","AX"
"uv vodka pet","3104464.2999997996","0.19374334403058835","59.02268397353088","A","15751","0.14980199810814466000","53.75166935405484935500","X","3172.567793334104","AX"
"patron tequila silver","3055788","0.19070555450374538","59.213389528034625","A","6652","0.06326473820172549500","70.73648258327083261500","X","4188.5468970462525","AX"
"glenlivet 12yr","3017432.9699998917","0.18831189458225261","59.40170142261688","A","11054","0.10513054962144823000","62.50625561959593881000","X","3712.9779333610068","AX"
"members mark vodka","2983169.220000016","0.18617356317866574","59.587874985795544","A","481","0.004574615014285923519700","96.747439214208583034930200","Z","5764.974313092114","AZ"
"basil hayden 8yr","2971667.25","0.18545574847203736","59.77333073426758","A","8435","0.08022219884719701600","66.49378869995908525200","X","3974.5552237371585","AX"
"absolut citron","2937319.669999742","0.1833121854075149","59.9566429196751","A","13247","0.12598737025830692100","58.55653682051512257900","X","3510.853368760432","AX"
"southern comfort pet","2906503.2800000967","0.1813889967757492","60.13803191645085","A","16884","0.16057754657214871700","52.82935658848227969700","X","3177.0535326437102","AX"
"juarez gold","2902251.5","0.18112365177716083","60.31915556822801","A","7663","0.07287998930243873600","68.09769057075788151000","X","4107.5951913745985","AX"
"don julio blanco","2870335.10999993","0.17913181436804698","60.49828738259606","A","9027","0.08585249424939507600","65.16368847499454565300","X","3942.291552270183","AX"
"dewars white label scotch","2869954.5","0.17910806126701828","60.67739544386308","A","16138","0.15348261351464913500","53.45028686925712247200","X","3243.2241929538363","AX"
"jim beam apple","2826088.2099999674","0.17637045474507426","60.85376589860815","A","25764","0.24503197760511961200","43.75832299368893341100","X","2662.8587435736285","AX"
"johnnie walker red","2818339.5000000265","0.17588687341115075","61.029652772019304","A","20776","0.19759293458795082500","48.08681230744532384500","X","2934.721458036652","AX"
"sailor jerry spiced navy rum","2796772.8200000776","0.17454094049034766","61.20419371250965","A","25260","0.24023861800595099400","44.72314829380174855300","X","2737.244231607138","AX"
"pinnacle","2739779.6600000635","0.17098411253607745","61.375177825045725","A","15097","0.14358204339017585700","55.06179724735618637700","X","3379.4275974230995","AX"
"buffalo trace bourbon","2736981","0.17080945382049262","61.54598727886622","A","12805","0.12178366997490904500","59.79416514987903424900","X","3680.090927664881","AX"
"black velvet reserve","2713323.1399997915","0.16933301458134653","61.71532029344757","A","20330","0.19335119176805161200","48.67049894498535648300","X","3003.715431231673","AX"
"fireball cinnamon whiskey mini sleeve","2698047.899999981","0.16837971771836333","61.883700011165935","A","12949","0.12315320128895722200","59.42848126775992040400","X","3677.654306893249","AX"
"new amsterdam peach","2614308.7599999886","0.16315372719566829","62.046853738361605","A","36654","0.34860278323001297400","36.88286683989969705000","X","2288.4658442667237","AX"
"johnnie walker black","2609324.2599998345","0.1628426546224226","62.20969639298403","A","13878","0.13198858039139302800","57.39559273410378346800","X","3570.5623982839566","AX"
"mccormick 80prf vodka","2591463.7100001094","0.1617280137862653","62.371424406770295","A","36705","0.34908782557040503700","36.53426405666968407600","X","2278.694088867558","AX"
"grand marnier cordon rouge","2549931.4999997877","0.15913607248082218","62.530560479251115","A","12067","0.11476482199041214000","60.85704508782404870800","X","3805.425138452694","AX"
"knob creek","2549646.579999993","0.15911829119934912","62.68967877045046","A","11352","0.10796471859079792900","62.08088299770622526500","X","3891.830612912123","AX"
"hendricks gin","2543297.6800000593","0.1587220691790466","62.84840083962951","A","10848","0.10317135899162931000","62.71294072040770947500","X","3941.4080362281074","AX"
"juarez gold dss","2515441.5000000126","0.1569836212719061","63.00538446090142","A","4162","0.03958325922964244000","78.67585533412474489200","X","4957.002513116791","AX"
"admiral nelson spiced","2514918.409999839","0.15695097628195964","63.16233543718338","A","24312","0.23122253685513383100","44.95437083065688238400","X","2839.423049773482","AX"
"juarez tequila gold","2490717.5","0.15544064638963254","63.317776083573015","A","6811","0.06477692902765369000","70.22571397756974005200","X","4446.536032940804","AX"
"jim beam peach","2485245.3100000005","0.15509913806893105","63.47287522164195","A","17540","0.16681652255836818800","51.68031981599585945600","X","3280.298491095255","AX"
"hennessy vs cognac","2481930.449999948","0.15489226435438924","63.62776748599634","A","6503","0.06184765371705064600","70.92342360763840873300","X","4512.699106617641","AX"
"elijah craig","2420706.120000007","0.15107137762999637","63.77883886362633","A","10198","0.09698944681016184600","63.51237609308095661200","X","4050.745600686644","AX"
"skol vodka","2402428.8400001894","0.1499307295165849","63.92876959314292","A","24185","0.23001468632121634200","45.18438551697809872600","X","2888.5821709226366","AX"
"jose cuervo especial reposado tequila","2368509.390000012","0.14781388518028082","64.0765834783232","A","12716","0.12093722353775426900","60.03625834153942548200","X","3846.9183193478284","AX"
"new amsterdam pink whitney","2367281.3800000018","0.1477372475575177","64.22432072588072","A","17474","0.16618882070609610700","52.01293522326118503400","X","3340.495433673185","AX"
"christian bros brandy","2339823.010000079","0.1460236261686634","64.37034435204939","A","32720","0.31118794858094681400","39.15554699175789425700","X","2520.4560431523073","AX"
"1800 silver","2294881.559999742","0.14321892108358664","64.51356327313297","A","14346","0.13643955716204960300","56.32500918251724801600","X","3633.7270437561224","AX"
"cointreau liqueur","2197253.719999863","0.13712616485763773","64.65068943799061","A","9095","0.08649921736991782600","64.99182180571562481300","X","4201.766087570547","AX"
"everclear 151","2176075.5400000014","0.1358044774368305","64.78649391542744","A","17220","0.16377311963826112900","52.34248820633815288400","X","3391.0862936982594","AX"
"ryans cream liqueur","2126036.7399998973","0.1326816570380588","64.9191755724655","A","17651","0.16787220294628032400","51.34618270727048034800","X","3333.3518501491844","AX"
"montezuma gold","2098302.570000037","0.13095082352849446","65.050126395994","A","2812","0.02674390316044078400","83.98485298366662715800","Y","5463.225301936488","AY"
"svedka vodka","2091566.4400000526","0.13053043526633218","65.18065683126034","A","9330","0.08873421638937144800","64.72991796317216169100","X","4219.138569473158","AX"
"seagrams 7 crown bl whiskey","2089645.2300000752","0.1304105364322626","65.3110673676926","A","19772","0.18804425792611492700","49.04908875761254932600","X","3203.4483401723674","AX"
"gentleman jack","2083382.8900000618","0.13001971644665053","65.44108708413926","A","12739","0.12115596812263696400","59.91532111800167121300","X","3920.923746957315","AX"
"barton naturals","2069876.8200000557","0.1291768299085407","65.5702639140478","A","3419","0.03251685807451886200","81.52832276353158756600","Y","5345.833640074437","AY"
"disaronno amaretto","2019649.050000018","0.12604221627390905","65.69630613032172","A","13460","0.12801313532700318200","58.30437186731600204600","X","3830.381862931309","AX"
"paramount blackberry brandy","2016667.4500000211","0.12585614064258","65.8221622709643","A","28731","0.27325002905498725300","40.91023045597974463500","X","2692.7998276160442","AX"
"olmeca altos plata","1980159.0299998992","0.1235777239198954","65.94573999488419","A","8083","0.07687445563507925100","67.27691333510738361800","X","4436.625834455348","AX"
"old crow","1956117.7999999784","0.12207735933371108","66.06781735421791","A","22180","0.21094586489992054800","46.47271503686416893800","X","3070.350849010158","AX"
"mccormick vodka","1942764.0800000762","0.12124398065126679","66.18906133486918","A","27580","0.26230328917672717400","41.98672011135811285100","X","2779.0615927006675","AX"
"bulleit 95 rye","1923290.4899999944","0.1200286732480228","66.30909000811721","A","8440","0.08026975201782368900","66.41356650111188823600","X","4403.823158882306","AX"
"jim beam pet","1909687.2999999912","0.11917972564695545","66.42826973376417","A","7031","0.06686926853522729400","69.70236280292082986600","X","4630.207357353115","AX"
"red stag black cherry","1908187.8899999452","0.11908615049858544","66.54735588426276","A","13267","0.12617758294081361200","58.43054945025681565800","X","3888.3985687792538","AX"
"smirnoff pet 80prf","1904350.420000131","0.11884666174995301","66.66620254601271","A","7641","0.07267075535168137500","68.31586451759305632300","X","4554.359261035822","AX"
"jack daniels old #7 black label flat","1891005.8500000066","0.11801385410050617","66.78421640011322","A","15025","0.14289727773315176900","55.34764886662724192200","X","3696.349359146315","AX"
"kraken black spiced rum","1861566.9199999603","0.11617662996399679","66.90039303007723","A","13685","0.13015302800520345800","57.91942895109308571600","X","3874.832560905761","AX"
"paramount peppermint schnapps","1859110.3800000087","0.11602332226632556","67.01641635234355","A","35023","0.33309093897159230700","37.89601567200333709400","X","2539.655164369912","AX"
"courvoisier vs cognac","1832416.549999994","0.11435741427402323","67.13077376661758","A","13509","0.12847915639914457600","58.04790810749223029200","X","3896.8009867894675","AX"
"grangala triple orange liqueur","1825456.2600000787","0.1139230366392067","67.24469680325679","A","6763","0.06432041858963763200","70.35470670821165269400","X","4730.980921275749","AX"
"bacardi gold rum","1823823.8100001095","0.11382115873326436","67.35851796199005","A","17593","0.16732058616701092000","51.51350329343749126800","X","3469.873236876043","AX"
"don julio reposado","1793912.459999924","0.11195445181912601","67.47047241380918","A","5354","0.05091993510704123600","74.82507566184978409200","X","5048.48320330402","AX"
"dekuyper watermelon pucker","1784283.4999999425","0.11135352788196452","67.58182594169114","A","13777","0.13102800634473423800","57.65830498054790002800","X","3896.6535312883316","AX"
"dr mcgillicuddys cherry schnapps","1783032.5099999267","0.11127545612383483","67.69310139781497","A","11185","0.10637644269186705700","62.40112506997449058000","X","4224.125686699517","AX"
"crown royal regal apple mini","1767675.0500001789","0.11031702807679064","67.80341842589176","A","33288","0.31658998876413684400","38.53003258533464022400","X","2612.467921346689","AX"
"smirnoff raspberry","1758221.0700001614","0.1097270242878594","67.91314545017963","A","17131","0.16292667320110635300","52.66877904191013098000","X","3576.902451756615","AX"
"wild turkey american honey","1751904.580000003","0.10933282491015467","68.02247827508978","A","14321","0.13620179130891623900","56.46121097382616425500","X","3840.631496852351","AX"
"lauders","1746826.200000052","0.10901589347581717","68.1314941685656","A","19429","0.18478211042112517300","49.42185806215503741900","X","3367.1850343613924","AX"
"jose cuervo authentic strawberry margarita","1717790.699999913","0.10720384659042458","68.23869801515602","A","18700","0.17784885814375627800","49.96484869627276347100","X","3409.536221557919","AX"
"jack daniels old #7 black label mini","1701919.8000000692","0.10621337579043985","68.34491139094646","A","28477","0.27083432798715227500","41.45380123877911609700","X","2833.1563724822654","AX"
"new amsterdam gin","1701062.809999997","0.10615989277618365","68.45107128372265","A","17431","0.16577986343870672100","52.17871508669989175500","X","3571.688945892749","AX"
